topic,time_ns
Baseline,1897542
Lotus,6938167
Baseline,3665625
Lotus,12363875
Baseline,1746583
Lotus,8273750
Baseline,3101500
Lotus,9313666
Baseline,2696292
Lotus,8366000
Baseline,1207000
Lotus,8454250
Baseline,5721125
Lotus,16739083
Baseline,2943667
Lotus,8990750
Baseline,2380709
Lotus,6956625
Baseline,3289541
Lotus,9359500
Baseline,1695208
Lotus,7240541
Baseline,4685708
Lotus,24991958
Baseline,1800750
Lotus,7130958
Baseline,1351791
Lotus,6036166
Baseline,7423167
Lotus,15998375
Baseline,1123166
Lotus,5435791
Baseline,2427625
Lotus,7187166
Baseline,2305625
Lotus,10435375
Baseline,11964792
Lotus,25897459
Baseline,3627125
Lotus,9011833
Baseline,1145833
Lotus,6165791
Baseline,10849042
Lotus,20532917
Baseline,1170416
Lotus,6425208
Baseline,1957291
Lotus,7172625
Baseline,2303958
Lotus,11083583
Baseline,2298583
Lotus,8571708
Baseline,3277708
Lotus,11862500
Baseline,2796709
Lotus,11161334
Baseline,3399000
Lotus,11523750
Baseline,1776125
Lotus,8023416
Baseline,2657333
Lotus,12213958
Baseline,2421917
Lotus,11152833
Baseline,1725041
Lotus,8931000
Baseline,3616541
Lotus,14945958
Baseline,3346792
Lotus,11810458
Baseline,1814042
Lotus,8747625
Baseline,2549709
Lotus,9397750
Baseline,2459500
Lotus,10638167
Baseline,2740791
Lotus,11754500
Baseline,1516291
Lotus,6547958
Baseline,3703417
Lotus,11961083
Baseline,1973291
Lotus,6301791
Baseline,2349250
